"x","y","region","water","Ash","Basswood","Beech","Birch","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
365000,1294000,"minnesota",56,0.002384,0.00046,0,0.087692,0.001464,0.017308,6.4e-05,4e-06,4.8e-05,0.001576,0.000112,0.374064,0.115212,0.04714,4e-06,7.2e-05,0,0.059572,0.292824
373000,1294000,"minnesota",11,0.00394,0.000744,4e-06,0.107408,0.001696,0.037088,0.000108,0,8e-05,0.002304,0.00024,0.357192,0.279768,0.07186,1.2e-05,0.00014,4e-06,0.086696,0.050716
381000,1294000,"minnesota",0,0.005984,0.00068,1.6e-05,0.145228,0.00112,0.039752,0.000172,4e-06,6.8e-05,0.00282,0.000172,0.432292,0.130136,0.13086,3.2e-05,0.000128,0,0.052976,0.05756
389000,1294000,"minnesota",0,0.002508,0.00038,4e-06,0.095188,0.000496,0.038864,4.4e-05,0,2e-05,0.001792,9.6e-05,0.529664,0.133404,0.091044,8e-06,8e-05,0,0.022712,0.083696
397000,1294000,"minnesota",0,0.003392,0.00064,2e-05,0.184968,0.000552,0.043596,1e-04,0,5.2e-05,0.00234,0.00026,0.314072,0.200512,0.133516,2.8e-05,0.000232,0,0.036184,0.079536
405000,1294000,"minnesota",0,0.002576,0.000648,1.6e-05,0.225548,0.000528,0.0349,0.000184,0,6.8e-05,0.001964,0.00018,0.406084,0.08494,0.135796,1.6e-05,0.00018,4e-06,0.060552,0.045816
413000,1294000,"minnesota",0,0.002352,5e-04,3.2e-05,0.146452,0.000424,0.026388,6.8e-05,0,8.4e-05,0.001592,0.000136,0.465904,0.125004,0.127524,8e-06,0.000204,4e-06,0.054384,0.04894
421000,1294000,"minnesota",0,0.00282,0.00072,8e-06,0.183436,0.000416,0.031256,0.000172,4e-06,0.000104,0.002312,0.000236,0.385648,0.10534,0.09364,3.6e-05,0.000288,0,0.035572,0.157992
429000,1294000,"minnesota",0,0.002988,0.000932,5.2e-05,0.238908,0.000436,0.039356,0.000204,0,0.00012,0.002324,0.000124,0.198332,0.157268,0.051012,2.4e-05,0.00114,0,0.024316,0.282464
437000,1294000,"minnesota",0,0.003052,0.001396,5.6e-05,0.277756,0.000604,0.122296,0.00034,4e-06,2e-04,0.002676,0.000252,0.110412,0.32594,0.028612,4.4e-05,0.000524,4e-06,0.023016,0.102816
445000,1294000,"minnesota",0,0.002752,0.000996,4.4e-05,0.311016,0.000524,0.035856,0.000256,4e-06,0.000152,0.002584,0.000232,0.182808,0.257472,0.094132,1.2e-05,0.000328,0,0.063732,0.0471
453000,1294000,"minnesota",0,0.002768,0.000904,2.4e-05,0.370396,0.000384,0.020872,0.000312,4e-06,0.00012,0.002,8.4e-05,0.151712,0.125796,0.085448,1.2e-05,0.000212,4e-06,0.153456,0.085492
461000,1294000,"minnesota",0,0.002444,0.000924,2e-05,0.413576,0.000428,0.017448,0.000336,4e-06,1e-04,0.001756,0.000132,0.148756,0.169028,0.04952,3.6e-05,1e-04,4e-06,0.12146,0.073928
469000,1294000,"minnesota",0,0.002352,0.000608,1.6e-05,0.164008,0.000172,0.0069,0.000236,4e-06,8e-05,0.001336,8.8e-05,0.365348,0.219544,0.137672,1.2e-05,5.2e-05,0,0.07222,0.029352
477000,1294000,"minnesota",0,0.005388,0.001316,3.6e-05,0.260692,0.000256,0.00822,0.000352,0,0.000124,0.001732,0.000112,0.463664,0.106648,0.082444,2.8e-05,8.4e-05,0,0.05446,0.014444
485000,1294000,"minnesota",0,0.01022,0.001404,2.8e-05,0.292396,0.000468,0.013552,0.000568,4e-06,0.00022,0.003016,0.000224,0.237652,0.139256,0.062684,2.8e-05,0.00014,4e-06,0.062896,0.17524
493000,1294000,"minnesota",0,0.0057,0.00116,4.4e-05,0.201824,0.000412,0.020456,0.000608,8e-06,0.00022,0.00334,0.000276,0.265152,0.173512,0.101176,2.8e-05,0.000132,4e-06,0.055044,0.170904
597000,1294000,"michigan_north",4,0.023952,0.005916,9e-04,0.161204,0.003008,0.255524,0.01818,4e-06,0.002232,0.065444,0.007748,0.168312,0.091728,0.026984,0.00012,0.00072,0,0.100596,0.067428
-11000,1302000,"minnesota",0,0.103192,0.101884,0.000104,0.015996,0.293376,0.003168,5.2e-05,4e-05,0.003192,0.031632,0.293108,0.002348,0.004524,0.006528,0.000156,0.013376,4e-06,0.001276,0.126044
-3000,1302000,"minnesota",0,0.07656,0.074672,7.6e-05,0.01416,0.2338,0.002736,3.6e-05,5.6e-05,0.002156,0.018372,0.394756,0.002076,0.003684,0.00566,8e-05,0.011152,1.6e-05,0.001132,0.15882
5000,1302000,"minnesota",0,0.055684,0.050276,6.4e-05,0.01264,0.173164,0.00202,2.8e-05,2.4e-05,0.001604,0.012504,0.478276,0.001684,0.002948,0.004096,8.4e-05,0.00716,4e-06,0.00072,0.19702
13000,1302000,"minnesota",0,0.027796,0.029372,2e-05,0.008628,0.092416,0.001136,4e-06,4e-06,0.000692,0.006308,0.633108,0.000704,0.0015,0.002456,8e-06,0.00356,0,0.000308,0.19198
21000,1302000,"minnesota",0,0.014292,0.0167,1.2e-05,0.007628,0.051004,0.000856,0,4e-06,0.000368,0.004136,0.497116,0.000532,0.001056,0.001652,1.2e-05,0.002,0,0.000232,0.4024
29000,1302000,"minnesota",0,0.010084,0.012372,4e-06,0.011992,0.038592,0.000764,4e-06,4e-06,0.000268,0.003304,0.378096,0.000512,0.000848,0.001396,1.2e-05,0.001176,2.4e-05,0.000228,0.54032
37000,1302000,"minnesota",0,0.011756,0.020484,1.2e-05,0.02782,0.059264,0.001144,1.2e-05,1.2e-05,0.000304,0.006272,0.357712,0.000636,0.00146,0.002044,2.4e-05,0.00144,4e-06,0.000348,0.509252
45000,1302000,"minnesota",0,0.013252,0.013168,0,0.016076,0.063564,0.00138,4e-06,2e-05,0.000356,0.01114,0.396296,0.00074,0.001528,0.002656,1.2e-05,0.001128,0,0.00032,0.47836
53000,1302000,"minnesota",0,0.00906,0.0065,0,0.008124,0.037072,0.000916,0,0,0.000116,0.00262,0.290768,0.001252,0.00104,0.002588,4e-06,0.000704,0,0.000164,0.639072
61000,1302000,"minnesota",0,0.004216,0.003348,0,0.005848,0.017492,0.000644,0,0,4.8e-05,0.001516,0.175212,0.000944,0.001068,0.002412,0,0.000332,0,7.6e-05,0.786844
69000,1302000,"minnesota",0,0.0092,0.006772,1.2e-05,0.019704,0.029552,0.002004,0,2e-05,0.000112,0.002396,0.081544,0.003868,0.002004,0.00526,8e-06,0.000652,0,0.000204,0.836688
77000,1302000,"minnesota",0,0.023904,0.029756,2.4e-05,0.027196,0.117252,0.009972,2e-05,1.6e-05,0.000392,0.007104,0.381,0.05708,0.00846,0.032956,4.4e-05,0.001376,0,0.000952,0.302496
85000,1302000,"minnesota",0,0.021236,0.025264,4.8e-05,0.04314,0.106432,0.0215,8e-06,2.4e-05,0.000664,0.01166,0.063316,0.28302,0.045696,0.149088,7.2e-05,0.001284,1.2e-05,0.001644,0.225892
93000,1302000,"minnesota",0,0.019968,0.021116,4.4e-05,0.037024,0.09168,0.01954,1.2e-05,8e-06,0.000488,0.01324,0.03104,0.497328,0.06878,0.039408,4.4e-05,0.000964,8e-06,0.001968,0.15734
101000,1302000,"minnesota",0,0.009848,0.01198,1.6e-05,0.02294,0.053744,0.027856,1.6e-05,1.2e-05,0.000448,0.01346,0.025248,0.674884,0.051136,0.058352,1.2e-05,0.00058,0,0.002268,0.0472
109000,1302000,"minnesota",0,0.0061,0.0065,2.8e-05,0.029604,0.036708,0.015832,8e-06,4e-06,0.000272,0.01086,0.022512,0.733916,0.024228,0.078436,4e-06,0.000472,0,0.003108,0.031408
117000,1302000,"minnesota",0,0.012876,0.010624,4.4e-05,0.1126,0.026912,0.053548,3.2e-05,2e-05,0.000864,0.018348,0.024784,0.402932,0.045888,0.207368,8e-05,0.000656,4e-06,0.019568,0.062852
125000,1302000,"minnesota",0,0.019016,0.014604,0.000112,0.239804,0.03726,0.095812,4.4e-05,3.6e-05,0.004568,0.061892,0.021332,0.117736,0.046776,0.199644,0.000156,0.001104,1.2e-05,0.030568,0.109524
133000,1302000,"minnesota",0,0.0149,0.011956,6e-05,0.18432,0.029276,0.075704,3.2e-05,2.4e-05,0.001216,0.01922,0.024128,0.298052,0.037028,0.117776,6.4e-05,0.000488,0,0.03016,0.155596
141000,1302000,"minnesota",0,0.01234,0.02008,4.8e-05,0.22442,0.025096,0.044372,2e-05,4e-06,0.000712,0.016604,0.014276,0.307828,0.105596,0.056308,1e-04,0.000528,4e-06,0.02646,0.145204
149000,1302000,"minnesota",0,0.012084,0.010464,4.8e-05,0.192412,0.024168,0.065368,2.4e-05,1.2e-05,0.000628,0.00608,0.017512,0.207632,0.119036,0.141868,4.4e-05,0.000392,8e-06,0.073252,0.128968
157000,1302000,"minnesota",0,0.005716,0.006804,5.2e-05,0.148464,0.0276,0.13274,1.2e-05,8e-06,0.000584,0.004552,0.0028,0.114596,0.09666,0.175972,6.4e-05,0.000352,0,0.17618,0.106844
165000,1302000,"minnesota",0,0.004332,0.005508,5.2e-05,0.127232,0.02854,0.084936,2.4e-05,0,0.000412,0.00246,0.002268,0.128788,0.104964,0.184224,3.2e-05,0.000364,0,0.28826,0.037604
173000,1302000,"minnesota",0,0.00626,0.00982,5.2e-05,0.098248,0.050012,0.12744,3.2e-05,2.4e-05,0.000628,0.00288,0.002272,0.03744,0.2405,0.206436,3.2e-05,0.00056,4e-06,0.0483,0.16906
181000,1302000,"minnesota",0,0.010568,0.00758,1.6e-05,0.140608,0.015804,0.124948,2.4e-05,4e-06,0.000508,0.002852,0.00178,0.04536,0.203872,0.171256,2.8e-05,0.00062,0,0.03636,0.237812
189000,1302000,"minnesota",0,0.009472,0.007032,2.4e-05,0.069744,0.012472,0.08844,4.4e-05,4e-06,0.000464,0.00356,0.00118,0.100664,0.231388,0.242996,4.4e-05,0.001556,0,0.053164,0.177752
197000,1302000,"minnesota",0,0.014316,0.005988,3.6e-05,0.08624,0.033712,0.09268,2.8e-05,1.6e-05,0.000472,0.004268,0.002,0.110172,0.19966,0.180128,2.4e-05,0.000688,0,0.106844,0.162728
205000,1302000,"minnesota",0,0.0251,0.004844,3.6e-05,0.094796,0.036836,0.096544,4.4e-05,2e-05,0.000412,0.005228,0.001476,0.010092,0.197716,0.107048,6e-05,0.000568,4e-06,0.19752,0.221656
213000,1302000,"minnesota",0,0.025208,0.00528,4.8e-05,0.115092,0.028584,0.105284,4.8e-05,8e-06,0.000384,0.007096,0.001672,0.009564,0.191912,0.170528,5.6e-05,0.000344,4e-06,0.314616,0.024272
221000,1302000,"minnesota",0,0.020784,0.007428,3.2e-05,0.145172,0.035628,0.106852,8.4e-05,4e-06,0.000488,0.008952,0.003044,0.022184,0.194372,0.208092,5.6e-05,0.000476,4e-06,0.135804,0.110544
