# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 2246 
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_upper_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 56
# output
#   file = ../output/12taxa_upper_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-7083.25,0.967753,0.0520125,2,0,63.636,25.9672,209.186,58.5809,47.8519,21.4848,77.5919,20.5218,98.6478,297.186,71.641,0.01,0.190744,0.195629
-7083.25,0.0114526,0.0766732,0,0,63.636,25.9672,209.186,58.5809,47.8519,21.4848,77.5919,20.5218,98.6478,297.186,71.641,0.01,0.190744,0.195629
-7082.55,0.975982,0.014732,3,0,71.9023,27.4365,209.574,65.8961,53.5496,21.4566,74.8816,17.1109,93.8127,297.801,85.7179,0.01,0.208629,0.196969
-7080.11,0.995618,0.0221504,2,0,74.7718,27.26,210.852,61.858,52.3797,20.2227,78.3412,16.6001,96.203,297.705,81.3848,0.01,0.192675,0.195634
-7080.11,0.765712,0.0345494,2,0,74.7718,27.26,210.852,61.858,52.3797,20.2227,78.3412,16.6001,96.203,297.705,81.3848,0.01,0.192675,0.195634
-7080.59,0.729245,0.0331522,2,0,65.5481,27.6062,213.467,57.3254,52.1927,20.1013,77.4893,20.2159,93.7311,298.001,82.5883,0.01,0.198839,0.193263
-7072.2,0.978965,0.0294959,4,0,63.2641,36.1965,211.183,56.3811,49.6019,20.3229,76.5823,17.4989,93.5636,293.151,77.2797,0.01,0.19776,0.201257
-7072.19,0.907382,0.0440488,2,0,74.2543,41.9175,206.374,67.1135,49.7635,21.0686,77.7356,18.1816,93.1618,291.376,86.2736,0.01,0.195303,0.204571
-7076,0.642616,0.056523,1,0,59.1279,38.7022,212.533,55.5015,50.8796,21.1336,74.2628,18.1162,89.922,290.815,68.4086,0.01,0.201006,0.193408
-7075.12,0.691443,0.0420561,2,0,65.2539,39.6995,196.082,56.5939,49.8744,23.4737,75.2316,16.4184,94.2056,290.344,69.8961,0.01,0.189509,0.195883
-7068.3,0.992718,0.0346658,2,0,63.9323,42.6553,198.926,64.5149,48.3117,20.2016,74.3942,18.4359,91.7905,289.562,83.7456,0.01,0.196845,0.185773
-7068.3,0.071212,0.0527274,2,0,63.9323,42.6553,198.926,64.5149,48.3117,20.2016,74.3942,18.4359,91.7905,289.562,83.7456,0.01,0.196845,0.185773
-6964.44,0.979442,0.0124446,5,0,55.7905,22.4495,135.605,48.2773,38.2717,16.8162,47.0712,15.0301,64.1442,161.897,60.493,0.01,0.208523,0.224444
-6960.24,1,0.0184429,3,0,46.4681,19.2062,127.343,40.8843,35.3887,15.7349,47.5351,14.577,56.6408,176.422,61.7738,0.01,0.216745,0.215738
-6955.53,0.98067,0.0283637,2,0,49.6428,27.1401,114.741,41.4455,30.5449,14.8603,44.9198,14.6715,53.6412,161.134,45.2157,0.01,0.209513,0.215414
-6953.71,1,0.0417954,1,0,52.442,24.637,118.512,41.2277,31.5462,15.3916,41.732,14.89,56.5342,149.592,46.8555,0.01,0.20783,0.197541
-6953.71,0.281576,0.0637412,1,0,52.442,24.637,118.512,41.2277,31.5462,15.3916,41.732,14.89,56.5342,149.592,46.8555,0.01,0.20783,0.197541
-6951.03,0.942481,0.0235343,2,0,45.7954,19.7934,112.891,37.7041,27.3485,14.9994,43.0736,13.4871,52.316,157.274,51.2733,0.01,0.207472,0.202847
-6949.64,0.963726,0.0320178,2,0,49.354,24.9492,123.083,40.9375,27.1612,14.321,42.1948,14.1413,56.1494,151.463,51.6923,0.01,0.20985,0.20915
-6951.86,0.669676,0.0452652,1,0,46.5541,19.5555,114.675,41.2843,29.5393,12.297,42.7842,12.5626,54.0033,151.339,54.4724,0.01,0.215606,0.22155
-6952.09,0.860826,0.0360428,1,0,47.5898,18.7701,112.538,39.7512,31.2845,12.5705,42.0427,11.9999,53.604,142.205,54.7729,0.01,0.212124,0.222666
-6950.72,0.994017,0.0416029,2,0,44.4501,23.9207,118.97,36.4933,29.1131,16.5374,42.5379,13.8856,56.9443,152.272,45.9461,0.01,0.205744,0.211644
-6950.91,0.558598,0.0619521,1,0,40.6151,22.9059,114.611,37.472,33.2553,13.0535,38.7215,13.3168,50.2413,146.024,51.452,0.01,0.218421,0.209859
-6949.73,0.835518,0.0399348,2,0,40.2392,22.5673,114.431,36.4916,29.8077,13.626,41.7276,13.928,51.7815,147.013,52.0994,0.01,0.219042,0.202513
-6949.44,0.639745,0.0438052,1,0,45.8913,22.5325,115.432,37.9111,30.9474,14.3281,39.9836,12.8232,55.0519,145.66,45.5526,0.01,0.223267,0.222613
-6951.1,0.739862,0.0331114,1,0,45.3139,21.8212,112.453,40.038,31.6139,14.7956,37.9193,12.0406,49.7251,138.696,50.4533,0.01,0.20943,0.228947
-6951.19,0.999149,0.0303105,2,0,44.6113,20.4559,109.46,33.7012,30.6102,12.5521,40.3714,12.5344,53.708,143.335,45.9962,0.01,0.209942,0.198076
-6955.59,0.369809,0.0452148,2,0,36.421,17.726,108.314,41.835,27.2701,14.1646,40.6867,14.3624,51.7468,144.262,50.4792,0.01,0.205728,0.202802
-6940.64,0.990655,0.0206829,7,0,53.3614,20.4488,125.869,36.3242,32.8091,14.8428,42.1133,13.1903,53.8364,153.392,48.7785,0.01,0.216622,0.226838
-6943.91,0.738384,0.0303074,2,0,53.4433,20.5823,121.335,35.023,31.2027,14.1649,43.0186,13.449,53.3598,152.308,48.5277,0.01,0.214263,0.241083
-6941.31,1,0.027709,2,0,51.5899,19.5613,119.346,33.7483,32.3748,14.8026,40.9288,12.1333,52.3516,145.838,50.7607,0.01,0.221264,0.223177
-6937.22,0.887226,0.041117,2,0,41.1427,26.18,116.496,37.9238,33.2308,14.1855,41.3396,12.0411,54.3997,148.201,53.8119,0.01,0.211004,0.220923
-6939.62,0.723594,0.0494059,1,0,52.0031,22.4186,116.291,39.9787,27.2409,15.3515,42.5538,14.2527,51.0628,147.888,47.4912,0.01,0.215115,0.212339
-6938.1,0.895424,0.043909,1,0,44.2352,21.7652,121.122,42.3103,32.2233,14.3076,42.2458,12.8266,57.2956,151.991,55.6743,0.01,0.214317,0.228024
-6937.21,0.395311,0.0534507,3,0,48.9361,24.1749,109.871,37.873,26.895,13.56,42.0181,13.4277,51.9307,144.162,52.498,0.01,0.208695,0.204259
-6937.21,0.000201121,0.104658,2,1,48.9361,24.1749,109.871,37.873,26.895,13.56,42.0181,13.4277,51.9307,144.162,52.498,0.01,0.208695,0.204259
-6937.21,6.80345e-30,0.244473,0,1,48.9361,24.1749,109.871,37.873,26.895,13.56,42.0181,13.4277,51.9307,144.162,52.498,0.01,0.208695,0.204259
-6935.34,0.886502,0.0241075,4,1,52.0722,26.0212,120.487,40.7872,26.2007,13.2439,42.4202,13.1326,52.514,150.447,47.6771,0.010004,0.210339,0.209708
-6931.72,0.890749,0.0185563,4,1,50.4403,26.7843,110.571,35.3959,27.6455,13.646,41.2265,13.2432,52.203,145.609,52.9875,0.0100104,0.209342,0.212489
-6933.01,0.870939,0.0179728,4,0,50.5705,24.0084,125.393,36.5921,27.7181,13.9937,40.6054,13.3059,50.0082,151.409,52.7568,0.01009,0.210537,0.215107
-6929.49,0.765893,0.0186075,3,0,49.4336,22.8294,120.874,36.3459,28.0911,13.8924,40.5262,13.2731,49.7841,148.496,51.1913,0.0100736,0.211443,0.21178
-6915.32,0.834035,0.0150355,4,0,45.4973,20.5616,111.791,34.5487,28.1946,14.1633,41.0549,12.6291,53.4784,145.403,49.639,0.0108947,0.211997,0.210933
-6904.76,0.693898,0.0155798,2,0,46.0903,20.4102,110.658,34.6497,27.2161,14.166,40.875,12.5162,53.9294,141.884,49.3005,0.0120341,0.211821,0.213092
-6890.8,0.657522,0.0107179,2,0,46.2725,20.2893,110.284,35.0653,27.203,14.1886,40.7731,12.5461,53.6682,146.339,49.0188,0.0135093,0.211665,0.21226
-6873.08,0.904227,0.00668475,3,0,46.3037,20.374,110.57,35.319,27.2904,14.1835,40.4834,12.6526,53.4552,145.373,49.317,0.0156783,0.211723,0.212381
-6852.86,0.831705,0.00922956,2,0,46.3819,20.4263,111.23,35.4725,27.2695,14.1979,40.4437,12.6456,53.4333,145.957,49.3243,0.0186913,0.211821,0.212285
-6850.91,0.61334,0.0102566,2,0,46.4485,20.4543,111.441,35.5088,27.2977,14.193,40.4406,12.6553,53.3694,145.756,49.3268,0.0189922,0.211988,0.212257
-6830.01,0.840714,0.00577778,3,0,46.5774,20.4426,111.629,35.6579,27.4889,14.2085,40.3953,12.6272,53.9624,145.9,49.492,0.0228581,0.211614,0.212095
-6819.55,0.896089,0.00671708,2,0,46.491,20.4394,111.27,35.7386,27.4328,14.2411,40.3617,12.6208,54.0274,146.422,49.4853,0.0251059,0.211558,0.212124
-6573.9,0.65534,0.00931833,2,0,47.1661,20.5272,111.572,36.141,27.1446,14.1354,40.6263,12.6122,53.4312,146.856,49.5534,0.224612,0.211949,0.210993
-6422.34,0.999116,0.00613213,2,0,47.1431,20.8448,112.34,36.2083,27.2194,14.1963,41.0599,12.6154,53.5243,144.874,49.2892,0.933851,0.211961,0.210754
-6402.73,1,0.011726,1,0,47.094,20.7584,112.334,36.1737,27.1472,14.1862,41.1246,12.586,53.4834,144.843,49.382,1.14063,0.21214,0.210907
-6345.43,1,0.0223289,1,0,47.3622,20.8213,112.402,35.9221,27.0743,14.1877,41.0519,12.5856,53.5063,145.594,49.3496,2.15663,0.212105,0.210836
-6313.48,0.714286,0.0421748,2,0,47.4587,21.06,109.73,36.3945,26.6369,14.2964,41.6852,12.038,53.7033,150.178,48.175,3.47328,0.213097,0.213981
-6293.17,0.428571,0.0334458,1,0,46.974,21.127,109.213,36.3015,26.4848,14.1698,41.8677,12.0424,53.4262,150.617,48.2257,9.34406,0.212761,0.214123
-6290.51,0.998231,0.0113685,6,0,43.9008,21.0954,120.448,39.7994,26.9018,14.4416,41.1129,12.7728,51.5912,148.905,50.7968,9.45627,0.211818,0.21431
-6287.74,0.998841,0.0212153,5,0,44.2771,21.6783,123.492,38.3454,27.2585,14.526,41.2308,12.6019,51.4678,152.549,49.9865,6.14357,0.211815,0.213794
-6287.74,8.77325e-08,0.0392747,2,0,44.2771,21.6783,123.492,38.3454,27.2585,14.526,41.2308,12.6019,51.4678,152.549,49.9865,6.14357,0.211815,0.213794
-6280.96,0.999932,0.00394821,8,0,49.9908,19.372,137.453,41.099,34.4916,15.6188,46.6379,12.8457,59.5581,169.991,54.4249,7.81684,0.206003,0.218865
-6287.27,0.993847,0.00736729,7,0,54.969,22.2128,135.947,46.2748,29.2194,14.788,46.0345,12.1139,60.5289,165.106,55.2637,7.35326,0.216233,0.21233
-6288.02,0.942775,0.0133728,6,0,53.6108,23.7195,138.19,46.334,28.7462,14.7506,47.1594,12.1034,59.4313,176.295,54.4311,7.18942,0.216066,0.210736
-6280.79,0.996229,0.0207977,5,0,50.9129,22.6072,132.276,39.9022,32.6071,14.0653,47.0862,13.9361,59.0556,164.423,58.1984,7.38336,0.207445,0.208199
-6279.57,0.343835,0.0373105,4,0,50.7892,22.4334,130.767,40.5358,32.8293,14.1497,46.9395,13.9339,58.8452,171.775,57.5145,7.74486,0.206848,0.208414
-6281.83,0.99352,0.0107728,7,0,48.2798,21.0118,119.983,38.3045,31.8707,14.371,44.1476,13.5931,59.0104,162.739,51.9607,7.26127,0.205681,0.206849
-6282.02,0.992856,0.0191034,4,0,47.6702,20.5793,124.449,38.5036,32.0686,14.44,46.7519,13.5522,54.5084,163.659,51.8121,7.19302,0.20439,0.209765
-6283.12,0.20395,0.0334945,3,0,47.469,21.395,122.031,40.3231,31.8697,14.3483,47.2412,13.2424,54.383,155.533,52.03,7.29303,0.204774,0.214281
-6282.13,0.98932,0.00682752,8,0,54.0161,28.7102,145.144,44.9424,38.422,16.8729,49.8903,15.5874,67.4238,184.461,60.5427,9.01977,0.212654,0.211973
-6283.17,0.995159,0.0118479,5,0,53.7682,29.1466,146.3,45.3726,38.7979,16.8676,49.5228,15.673,67.6994,189.962,60.163,8.49107,0.212871,0.212329
-6287.53,0.911559,0.0206961,6,0,51.293,34.7875,147.33,46.3751,38.8293,18.9004,49.9845,14.4826,68.6272,186.721,61.4894,7.36644,0.207429,0.222804
-6284.32,0.983406,0.0287068,4,0,53.5633,31.4825,149.429,48.2464,35.8223,18.2465,54.6122,14.8083,65.7769,186.592,61.3547,7.54513,0.207293,0.223342
