# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6233.49,0.866653,0.0450308,1,0,57.562,20.2501,97.1358,49.636,17.2882,14.849,43.3307,13.076,48.5142,113.872,44.4824,4.79513,0.209752,0.206615
-6234.95,0.95006,0.0543198,1,0,59.3114,24.6864,92.3427,48.541,21.0236,15.4178,43.9689,13.0515,51.0173,109.588,42.6465,4.56955,0.200694,0.204358
-6234.95,0.198364,0.079061,1,0,59.3114,24.6864,92.3427,48.541,21.0236,15.4178,43.9689,13.0515,51.0173,109.588,42.6465,4.56955,0.200694,0.204358
-6234.52,0.975167,0.0208239,3,0,59.1719,14.6379,103.352,52.6185,18.0263,14.6856,47.8983,11.1865,54.5736,118.754,45.7641,4.64093,0.210049,0.195825
-6234.42,0.874273,0.0321034,2,0,59.9448,15.5316,98.7433,49.5077,19.6369,15.7259,46.6119,13.5746,51.0409,118.218,43.7203,4.84958,0.200973,0.215556
-6237.13,0.863833,0.0392658,2,0,60.2554,12.6266,98.7092,53.3172,17.286,15.1683,45.3444,11.9374,51.9087,113.934,40.3767,5.16726,0.212617,0.191826
-6235,0.923996,0.0468007,2,0,58.5601,16.3864,97.0828,46.5568,19.5139,14.7353,44.3141,12.3399,49.0163,108.292,49.1151,4.5025,0.203156,0.217181
-6235,5.28902e-05,0.0635818,0,0,58.5601,16.3864,97.0828,46.5568,19.5139,14.7353,44.3141,12.3399,49.0163,108.292,49.1151,4.5025,0.203156,0.217181
-6239.13,0.991792,0.0112711,4,0,54.2484,18.7722,92.2971,50.5489,16.2011,13.8199,42.6636,11.1692,47.7847,106.337,35.7803,3.74445,0.200909,0.182222
-6240.53,0.982649,0.0178387,4,0,57.7484,25.0251,89.0493,44.2706,16.7098,14.5365,42.9193,10.3225,48.3951,109.877,48.9142,4.61002,0.20444,0.204885
-6239.15,0.800957,0.0275256,2,0,57.2726,25.8236,91.6758,45.1122,15.7875,14.5223,42.9064,11.7299,48.3773,108.386,47.1662,4.38876,0.210813,0.210768
-6242.99,0.964988,0.0285277,3,0,57.0848,9.63257,104.43,51.5624,24.4919,14.4312,47.6485,11.1266,54.1853,118.758,41.392,4.83215,0.202614,0.197707
-6242.99,0.442015,0.0420443,2,0,57.0848,9.63257,104.43,51.5624,24.4919,14.4312,47.6485,11.1266,54.1853,118.758,41.392,4.83215,0.202614,0.197707
-6238.24,0.944399,0.0201661,3,0,64.2533,11.1476,98.4997,53.347,20.6621,15.3052,45.2882,12.3331,52.9392,115.72,42.5132,5.42876,0.212404,0.222385
-6237.64,0.972118,0.0283712,3,0,49.2479,17.4961,87.3,47.5135,16.9168,12.6001,41.3486,10.5523,47.6266,101.138,40.1553,3.70027,0.202751,0.196586
-6234.09,0.723637,0.0421589,2,0,59.8755,16.6457,87.5688,48.1493,19.3423,15.6054,42.2104,12.0686,47.4678,103.709,41.2357,4.42906,0.207053,0.205053
-6232.05,0.806411,0.0369855,2,0,54.2665,17.9339,94.1433,50.1621,20.1509,13.7627,44.8031,11.9897,52.8488,112.705,43.9776,4.45859,0.202019,0.200845
-6234.09,0.572488,0.0386291,1,0,56.8838,17.4205,98.1333,49.8771,20.8406,13.4605,42.9838,11.7289,49.5861,114.975,42.7825,4.21925,0.212694,0.196446
-6232.12,0.991466,0.024784,2,0,61.2316,16.9746,97.8719,49.7905,19.2186,15.0625,44.8521,11.1415,48.8499,112.223,43.5278,4.51638,0.213884,0.205251
-6235.93,0.680822,0.0380169,2,0,61.9437,16.3566,93.7014,51.8547,19.2882,15.895,40.9315,11.6338,48.0003,107.114,43.0183,4.40421,0.20498,0.203926
-6239.9,0.778773,0.0306216,2,0,58.1443,12.3994,106.368,47.9948,19.6603,13.7214,45.0455,12.6641,52.2409,119.927,47.8181,5.14731,0.202283,0.210912
-6237.02,0.909978,0.0302078,2,0,59.0733,12.407,99.4054,50.531,18.5566,15.5929,46.4287,13.6352,49.0436,113.185,45.9848,4.41524,0.21261,0.200587
-6240.91,0.864331,0.0389333,2,0,60.9644,11.7644,97.2974,44.3393,20.4085,14.8079,40.3562,12.3863,47.8623,109.834,47.6759,4.51188,0.214666,0.214003
-6239.96,0.858612,0.0456203,1,0,55.5915,12.1014,94.6414,46.8808,20.9619,15.7415,45.4937,12.5547,50.3241,110.666,51.384,4.78736,0.212397,0.203202
-6239.8,0.950817,0.0527521,2,0,60.8848,13.5015,96.9559,52.7155,18.7855,13.5013,44.945,10.3934,52.3936,112.916,35.7932,5.01398,0.204301,0.206414
-6239.8,1.04983e-07,0.0732856,0,1,60.8848,13.5015,96.9559,52.7155,18.7855,13.5013,44.945,10.3934,52.3936,112.916,35.7932,5.01398,0.204301,0.206414
-6236.21,0.997753,0.0151904,4,0,58.4165,15.165,95.9606,52.3937,18.0417,13.8226,43.2057,11.937,50.3827,110.607,37.222,3.95187,0.211781,0.204894
-6235.2,0.959961,0.0232275,3,0,56.9674,21.5776,95.1542,45.9984,20.1326,15.8128,44.1934,10.6693,50.2017,109.422,46.9797,4.56582,0.197463,0.198913
