# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_bigC_c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-6294.54,0.704625,0.0367171,2,0,52.9924,19.8775,125.429,43.6555,30.6504,14.2731,44.9515,14.5937,59.1744,168.598,58.0254,7.96078,0.20759,0.209369
-6295.81,0.888037,0.0315725,2,0,44.8058,20.8983,130.755,32.8263,33.3027,15.0343,46.835,13.7399,57.418,169.459,51.7972,7.98824,0.204782,0.205161
-6297.9,0.862739,0.607009,1,0,46.7126,19.7962,127.151,47.0559,30.474,16.2488,47.1588,15.4784,60.3456,167.123,50.3743,6.61471,0.206488,0.201041
-6297.9,0,6.80355,-1,1,46.7126,19.7962,127.151,47.0559,30.474,16.2488,47.1588,15.4784,60.3456,167.123,50.3743,6.61471,0.206488,0.201041
-6291.77,1,1.06783,1,0,47.6667,21.3842,128.891,38.1451,34.5576,15.9573,49.1875,13.9998,57.478,175.958,56.362,7.27054,0.208913,0.197162
-6291.77,1.10387e-10,1.45025,0,1,47.6667,21.3842,128.891,38.1451,34.5576,15.9573,49.1875,13.9998,57.478,175.958,56.362,7.27054,0.208913,0.197162
-6294.95,0.996887,0.133004,4,0,47.7436,31.905,133.625,42.0663,35.6005,14.0023,45.9036,15.6123,61.624,167.73,58.2775,8.19973,0.214667,0.215349
-6297.21,0.97968,0.202591,3,0,42.9326,30.7249,132.971,37.8283,33.5857,14.2369,44.187,16.9239,59.9356,167.974,58.0383,6.91403,0.21583,0.211764
-6298.5,0.955643,0.320414,2,0,44.0343,31.561,132.198,37.5751,32.9806,14.4018,45.4631,17.3173,61.391,166.874,60.1162,6.90525,0.215967,0.207785
-6292.29,0.838844,0.495361,2,0,49.5008,25.8572,129.931,43.0914,35.2112,15.939,47.8103,12.4766,56.3587,170.131,57.8173,7.20338,0.210701,0.207805
