# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_vary_psi_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 121
# output
#   file = ../output/12taxa_mid_comp_v0.1_vary_psi_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,gamma
-6371.17,0.976049,0.0176111,6,0,73.8409,24.8676,212.789,83.3394,53.9731,22.2791,79.0866,19.839,112.38,298.841,92.946,11.2181,0.306301,0.229593,0.195079,0.694691,0.193516,0.330953,0.188934,0.191928,0.311583,0.171507,0.289251,0.123337,0.205531
-6364.59,1,0.0283017,4,0,73.9591,29.2223,215.745,80.878,51.3137,29.3629,75.7833,20.3641,117.231,298.761,86.9765,7.43741,0.250364,0.284598,0.192304,0.679814,0.188247,0.415978,0.184925,0.234505,0.326121,0.165437,0.217949,0.129631,0.197464
-6362.87,0.482259,0.0478691,5,0,79.6874,30.6937,214.82,80.3169,52.9188,28.6742,78.1567,19.9792,120.452,297.852,89.7783,9.09693,0.34918,0.27394,0.182509,0.540077,0.180199,0.637794,0.174392,0.175891,0.349761,0.151598,0.249058,0.118864,0.168571
-6363.33,0.978702,0.0231299,3,0,80.35,27.5364,218.977,78.0204,51.8011,31.3963,77.8182,18.5456,111.496,298.371,91.8938,9.52853,0.322321,0.311081,0.192147,0.4797,0.218187,0.670814,0.197554,0.198453,0.307648,0.163411,0.251389,0.119307,0.187397
-6363.87,0.514783,0.0369503,2,0,80.9744,38.9226,211.76,80.2993,55.0393,28.7207,78.0059,20.9292,116.604,297.903,90.5847,8.62465,0.328433,0.273843,0.173544,0.449686,0.168082,0.597248,0.186642,0.198051,0.277583,0.15536,0.247771,0.125497,0.18164
-6362.42,0.944226,0.0195048,4,0,67.1855,24.1106,215.198,75.741,57.563,27.4829,78.0335,21.2562,118.03,293.966,90.3965,7.30043,0.204541,0.316451,0.197804,0.429382,0.197002,0.439067,0.192276,0.234804,0.329938,0.174095,0.249729,0.126261,0.197586
-6369.64,0.805726,0.0285685,3,0,65.3581,33.9026,202.413,76.9218,48.2892,29.3319,77.4964,20.4075,128.54,290.795,93.3253,11.5733,0.204556,0.338194,0.184176,0.403091,0.18274,0.496966,0.180916,0.250009,0.420721,0.162308,0.332994,0.131299,0.178077
-6370.05,0.79366,0.0300966,2,0,56.6562,31.0788,217.263,73.9385,55.4879,31.771,73.5173,23.2719,113.593,290.695,100.428,10.4056,0.220676,0.319798,0.185088,0.367529,0.204552,0.520403,0.178768,0.253934,0.361232,0.157211,0.31588,0.131353,0.187472
-6341.95,0.971141,0.0308019,4,0,100.365,32.2287,195.38,79.0751,49.1315,26.932,72.4958,17.7655,108.982,262.432,78.3664,10.496,0.761181,0.318412,0.189362,0.768941,0.20967,0.499958,0.196112,0.165354,0.292589,0.151244,0.19623,0.150922,0.190112
-6327.76,0.817338,0.047486,2,0,67.0413,23.034,188.161,66.5924,45.432,23.7016,68.3315,18.6753,102.896,244.939,78.6681,7.74301,0.790109,0.31148,0.192893,0.626571,0.186338,0.563727,0.194547,0.137684,0.314992,0.151232,0.195255,0.172101,0.184692
-6307.65,1,0.0511312,3,0,46.5081,19.4638,96.8641,41.4272,27.169,18.7199,31.928,11.1885,54.0304,118.098,51.0174,6.13148,0.490567,0.22554,0.197129,0.561022,0.215015,0.657763,0.22112,0.230433,0.374741,0.155303,0.42807,0.341645,0.202813
-6307.65,0.000565779,0.0834347,1,1,46.5081,19.4638,96.8641,41.4272,27.169,18.7199,31.928,11.1885,54.0304,118.098,51.0174,6.13148,0.490567,0.22554,0.197129,0.561022,0.215015,0.657763,0.22112,0.230433,0.374741,0.155303,0.42807,0.341645,0.202813
